model;kms;img;title;link;price;year;maker;cc;type
PULSAR 220 SPORT;15000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-220-sport-126-cc-250-cc-479121-MCO20717300674_052016-O.jpg;Bajaj Pulsar 220 Sport 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422981323-bajaj-pulsar-220-sport-126-cc-250-cc-_JM; 5400000;2013;Bajaj;126 cc - 250 cc;De Calle
NS 200;20500;http://mco-s2-p.mlstatic.com/bajaj-ns-200-126-cc-250-cc-655221-MCO20740526611_052016-O.jpg;Bajaj Ns 200 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423278951-bajaj-ns-200-126-cc-250-cc-_JM; 7390000;2015;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200 NS;32000;http://mco-s1-p.mlstatic.com/bajaj-pulsar-200-ns-126-cc-250-cc-673121-MCO20725684336_052016-O.jpg;Bajaj Pulsar 200 Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423150239-bajaj-pulsar-200-ns-126-cc-250-cc-_JM; 6500000;2014;Bajaj;126 cc - 250 cc;De Calle
Pulsar NS;25000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-ns-126-cc-250-cc-123121-MCO20711964654_052016-O.jpg;Bajaj Pulsar Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422915541-bajaj-pulsar-ns-126-cc-250-cc-_JM; 6400000;2014;Bajaj;126 cc - 250 cc;De Calle
2016;0;http://mco-s2-p.mlstatic.com/auteco-pulsar-180-gt-2017-953711-MLA20615476249_032016-O.jpg;Auteco Pulsar 180 Gt 2017;http://articulo.tumoto.com.co/MCO-421972444-auteco-pulsar-180-gt-2017-_JM; 5650000;2016;Bajaj;126 cc - 250 cc;De Calle
Pulsar 135;3632;http://mco-s2-p.mlstatic.com/bajaj-pulsar-135-051-cc-125-cc-656221-MCO20731107956_052016-O.jpg;Bajaj Pulsar 135 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423255198-bajaj-pulsar-135-051-cc-125-cc-_JM; 4500000;2015;Bajaj;051 cc - 125 cc;De Calle
oil coiled 2009;62000;http://mco-s2-p.mlstatic.com/excelente-oferta-moto-auteco-pulsar-200-823121-MCO20707929631_052016-O.jpg;Excelente Oferta! Moto Auteco Pulsar 200;http://articulo.tumoto.com.co/MCO-423273096-excelente-oferta-moto-auteco-pulsar-200-_JM; 3700000;2009;Bajaj;126 cc - 250 cc;De Calle
Discover 125 ST;25870;http://mco-s2-p.mlstatic.com/bajaj-discover-125-st-051-cc-125-cc-543021-MCO20688726246_042016-O.jpg;Bajaj Discover 125 St 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422526265-bajaj-discover-125-st-051-cc-125-cc-_JM; 3400000;2014;Bajaj;051 cc - 125 cc;De Calle
PULSAR 200;37000;http://mco-s1-p.mlstatic.com/bajaj-pulsar-200-126-cc-250-cc-782321-MCO20729419214_052016-O.jpg;Bajaj Pulsar 200 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423223465-bajaj-pulsar-200-126-cc-250-cc-_JM; 6200000;2014;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200 NS;35700;http://mco-s2-p.mlstatic.com/bajaj-pulsar-200-ns-126-cc-250-cc-358121-MCO20714517879_052016-O.jpg;Bajaj Pulsar 200 Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422941225-bajaj-pulsar-200-ns-126-cc-250-cc-_JM; 6200000;2014;Bajaj;126 cc - 250 cc;De Calle
