model;kms;img;title;link;price;year;maker;cc;type
FZ8 800cc;33500;http://mco-s2-p.mlstatic.com/yamaha-fz8-800cc-501-cc-o-mas-154611-MCO20590913492_022016-O.jpg;Yamaha Fz8 800cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422167681-yamaha-fz8-800cc-501-cc-o-mas-_JM; 24000000;2013;Yamaha;501 cc o más;Deportivas / Naked
FZ 16;32000;http://mco-s2-p.mlstatic.com/yamaha-fz-16-126-cc-250-cc-640121-MCO20696634478_052016-O.jpg;Yamaha Fz 16 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422721465-yamaha-fz-16-126-cc-250-cc-_JM; 5000000;2013;Yamaha;126 cc - 250 cc;De Calle
Supertenere 1200;26800;http://mco-s2-p.mlstatic.com/yamaha-supertenere-1200-501-cc-o-mas-130121-MLA20696228319_052016-O.jpg;Yamaha Supertenere 1200 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422713553-yamaha-supertenere-1200-501-cc-o-mas-_JM; 32000000;2010;Yamaha;501 cc o más;Touring
2009;1000;http://mco-s1-p.mlstatic.com/yamaha-2009-251-cc-500-cc-287601-MCO20386925883_082015-O.jpg;Yamaha 2009 251 Cc - 500 Cc;http://articulo.tumoto.com.co/MCO-422075890-yamaha-2009-251-cc-500-cc-_JM; 28000000;2009;Yamaha;251 cc - 500 cc;Cuatriciclos y Triciclos
YZF R1;18041;http://mco-s1-p.mlstatic.com/yamaha-yzf-r1-1000cc-2001-401021-MCO20688665163_042016-O.jpg;Yamaha Yzf R1 1000cc 2001;http://articulo.tumoto.com.co/MCO-422525151-yamaha-yzf-r1-1000cc-2001-_JM; 19000000;2001;Yamaha;501 cc o más;Deportivas / Naked
BWS II 125;4000;http://mco-s1-p.mlstatic.com/yamaha-bws-ii-125-051-cc-125-cc-950121-MCO20686216945_042016-O.jpg;Yamaha Bws Ii 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422481951-yamaha-bws-ii-125-051-cc-125-cc-_JM; 4500000;2011;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BWS;23000;http://mco-s1-p.mlstatic.com/yamaha-bws-051-cc-125-cc-985911-MCO20658743599_042016-O.jpg;Yamaha Bws 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-421644841-yamaha-bws-051-cc-125-cc-_JM; 5500000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
Fazer 1000;53000;http://mco-s1-p.mlstatic.com/yamaha-500-cc-o-mas-2008-6303-MCOTUM_24090585_0-O.jpg;Yamaha 500 Cc O Más 2008;http://articulo.tumoto.com.co/MCO-421804578-yamaha-500-cc-o-mas-2008-_JM; 21400000;2008;Yamaha;500 cc o más;Deportivas / Naked
Bolt 950;3200;http://mco-s1-p.mlstatic.com/yamaha-bolt-950-501-cc-o-mas-380911-MCO20670156196_042016-O.jpg;Yamaha Bolt 950 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421947679-yamaha-bolt-950-501-cc-o-mas-_JM; 25800000;2014;Yamaha;501 cc o más;Custom / Chopper
R3;1000;http://mco-s1-p.mlstatic.com/yamaha-r3-251-cc-500-cc-849811-MCO20655129862_042016-O.jpg;Yamaha R3 251 Cc - 500 Cc;http://articulo.tumoto.com.co/MCO-421570934-yamaha-r3-251-cc-500-cc-_JM; 16000000;2015;Yamaha;251 cc - 500 cc;Deportivas / Naked
2012;27000;http://mco-s1-p.mlstatic.com/yamaha-2012-126-cc-250-cc-103111-MCO20474946416_112015-O.jpg;Yamaha 2012 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422783456-yamaha-2012-126-cc-250-cc-_JM; 4500000;2012;Yamaha;126 cc - 250 cc;De Calle
Super tenere ;43000;http://mco-s1-p.mlstatic.com/yamaha-super-tenere-501-cc-o-mas-328511-MCO20584874010_022016-O.jpg;Yamaha Super Tenere 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421955008-yamaha-super-tenere-501-cc-o-mas-_JM; 21000000;2012;Yamaha;501 cc o más;Touring
YZ 250 F;95;http://mco-s1-p.mlstatic.com/yamaha-yz-250-f-251-cc-500-cc-632911-MCO20661891893_042016-O.jpg;Yamaha Yz 250 F 251 Cc - 500 Cc;http://articulo.tumoto.com.co/MCO-421706640-yamaha-yz-250-f-251-cc-500-cc-_JM; 9500000;2009;Yamaha;251 cc - 500 cc;Enduro, Cross y Trial
FZ 1000;18000;http://mco-s1-p.mlstatic.com/yamaha-fz-1000-501-cc-o-mas-302111-MCO20492094831_112015-O.jpg;Yamaha Fz 1000 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423160516-yamaha-fz-1000-501-cc-o-mas-_JM; 24000000;2011;Yamaha;501 cc o más;Deportivas / Naked
R6;65000;http://mco-s2-p.mlstatic.com/yamaha-r-6-501-cc-o-mas-495021-MCO20696591068_052016-O.jpg;Yamaha R 6 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422721070-yamaha-r-6-501-cc-o-mas-_JM; 18500000;2008;Yamaha;501 cc o más;Deportivas / Naked
2015;23000;http://mco-s1-p.mlstatic.com/yamaha-bws-2015-699801-MCO20433108971_092015-O.jpg;Yamaha Bws 2015;http://articulo.tumoto.com.co/MCO-423188708-yamaha-bws-2015-_JM; 5900000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
R1;34222;http://mco-s1-p.mlstatic.com/yamaha-r1-501-cc-o-mas-453511-MCO20567639313_012016-O.jpg;Yamaha R1 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421689237-yamaha-r1-501-cc-o-mas-_JM; 25000000;2007;Yamaha;501 cc o más;Deportivas / Naked
Grizzly 700;2568;http://mco-s2-p.mlstatic.com/yamaha-grizzly-700-501-cc-o-mas-303511-MCO20553101067_012016-O.jpg;Yamaha Grizzly 700 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421821750-yamaha-grizzly-700-501-cc-o-mas-_JM; 25000000;2010;Yamaha;501 cc o más;Cuatriciclos y Triciclos
FZ 800;22000;http://mco-s1-p.mlstatic.com/yamaha-fz-800-501-cc-o-mas-958511-MCO20598879622_022016-O.jpg;Yamaha Fz 800 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422598202-yamaha-fz-800-501-cc-o-mas-_JM; 22000000;2011;Yamaha;501 cc o más;Deportivas / Naked
XT 600;207190;http://mco-s2-p.mlstatic.com/yamaha-xt-600-501-cc-o-mas-829311-MCO20527616483_122015-O.jpg;Yamaha Xt 600 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422180773-yamaha-xt-600-501-cc-o-mas-_JM; 7900000;1999;Yamaha;501 cc o más;Enduro, Cross y Trial
YZF-R6 VERSION LIMITADA;40000;http://mco-s1-p.mlstatic.com/yamaha-yzf-r6-501-cc-o-mas-673301-MCO20319178322_062015-O.jpg;Yamaha Yzf-r6 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422656164-yamaha-yzf-r6-501-cc-o-mas-_JM; 29500000;2009;Yamaha;501 cc o más;Deportivas / Naked
FZ1 1000cc;27000;http://mco-s2-p.mlstatic.com/yamaha-fz1-1000cc-501-cc-o-mas-726301-MCO20305451621_052015-O.jpg;Yamaha Fz1 1000cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423135366-yamaha-fz1-1000cc-501-cc-o-mas-_JM; 25700000;2012;Yamaha;501 cc o más;Deportivas / Naked
R1 1000CC;51600;http://mco-s2-p.mlstatic.com/yamaha-r1-1000cc-501-cc-o-mas-472411-MCO20547540584_012016-O.jpg;Yamaha R1 1000cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421890731-yamaha-r1-1000cc-501-cc-o-mas-_JM; 19000000;2002;Yamaha;501 cc o más;Deportivas / Naked
R6R 600cc;36191;http://mco-s2-p.mlstatic.com/yamaha-r6r-600cc-501-cc-o-mas-696801-MCO20399302795_082015-O.jpg;Yamaha R6r 600cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422582118-yamaha-r6r-600cc-501-cc-o-mas-_JM; 25600000;2008;Yamaha;501 cc o más;Deportivas / Naked
R6 600cc;10000;http://mco-s1-p.mlstatic.com/yamaha-r6-600cc-501-cc-o-mas-794201-MCO20295926409_052015-O.jpg;Yamaha R6 600cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423160078-yamaha-r6-600cc-501-cc-o-mas-_JM; 35000000;2012;Yamaha;501 cc o m?s;Deportivas / Naked
BWS 125cc;5000;http://mco-s1-p.mlstatic.com/yamaha-bws-125cc-051-cc-125-cc-988211-MCO20524160361_122015-O.jpg;Yamaha Bws 125cc 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422479726-yamaha-bws-125cc-051-cc-125-cc-_JM; 5900000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT 660 R;35000;http://mco-s2-p.mlstatic.com/yamaha-xt-660-r-501-cc-o-mas-544601-MCO20370950731_082015-O.jpg;Yamaha Xt 660 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421681412-yamaha-xt-660-r-501-cc-o-mas-_JM; 17000000;2013;Yamaha;501 cc o más;Enduro, Cross y Trial
2010;1;http://mco-s2-p.mlstatic.com/libero-125-azul-modelo-2010-697221-MLA20739876757_052016-O.jpg;Libero 125 Azul Modelo 2010;http://articulo.tumoto.com.co/MCO-423482129-libero-125-azul-modelo-2010-_JM; 2280000;2010;Yamaha;051 cc - 125 cc;De Calle
2016;6000;http://mco-s2-p.mlstatic.com/yamaha-bws-125-modelo-2016-618221-MCO20738952348_052016-O.jpg;Yamaha Bws 125 Modelo 2016;http://articulo.tumoto.com.co/MCO-423475262-yamaha-bws-125-modelo-2016-_JM; 6000000;2016;Yamaha;051 cc - 125 cc;De Calle
GRIZZLY 700;926;http://mco-s2-p.mlstatic.com/yamaha-grizzly-700-camuflado-2015-601321-MCO20735598663_052016-O.jpg;Yamaha Grizzly 700 Camuflado 2015;http://articulo.tumoto.com.co/MCO-423381763-yamaha-grizzly-700-camuflado-2015-_JM; 35000000;2015;Yamaha;501 cc o más;Cuatriciclos y Triciclos
2016;126;http://mco-s1-p.mlstatic.com/bwsx-125-naranja-modelo-2016-550321-MLA20740851486_052016-O.jpg;Bwsx 125 Naranja Modelo 2016;http://articulo.tumoto.com.co/MCO-423541781-bwsx-125-naranja-modelo-2016-_JM; 6980000;2016;Yamaha;051 cc - 125 cc;De Calle
Fazer 150;22000;http://mco-s2-p.mlstatic.com/yamaha-fazer-150-126-cc-250-cc-995221-MCO20741977738_052016-O.jpg;Yamaha Fazer 150 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423573948-yamaha-fazer-150-126-cc-250-cc-_JM; 4700000;2013;Yamaha;126 cc - 250 cc;De Calle
Bws;4900;http://mco-s2-p.mlstatic.com/yamaha-bws-051-cc-125-cc-377221-MCO20740808497_052016-O.jpg;Yamaha Bws 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423541731-yamaha-bws-051-cc-125-cc-_JM; 4900000;2012;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
2015;1;http://mco-s1-p.mlstatic.com/libero-125-2015-608221-MLA20737227761_052016-O.jpg;Libero 125 2015;http://articulo.tumoto.com.co/MCO-423424180-libero-125-2015-_JM; 3950000;2015;Yamaha;051 cc - 125 cc;De Calle
FZ 150;66000;http://mco-s2-p.mlstatic.com/yamaha-fz-150-126-cc-250-cc-161321-MCO20733574354_052016-O.jpg;Yamaha Fz 150 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423324112-yamaha-fz-150-126-cc-250-cc-_JM; 4800000;2012;Yamaha;126 cc - 250 cc;De Calle
XT 660 R;5000;http://mco-s2-p.mlstatic.com/yamaha-xt-660-r-501-cc-o-mas-168221-MCO20738966572_052016-O.jpg;Yamaha Xt 660 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423475287-yamaha-xt-660-r-501-cc-o-mas-_JM; 21800000;2015;Yamaha;501 cc o más;Enduro, Cross y Trial
BWIS;3800;http://mco-s1-p.mlstatic.com/yamaha-bwis-2016-como-nueva-389221-MCO20738761629_052016-O.jpg;Yamaha Bwis 2016 Como Nueva;http://articulo.tumoto.com.co/MCO-423467226-yamaha-bwis-2016-como-nueva-_JM; 7300000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
YAMAHA FZ16 FAZER MODELO 2015;14000;http://mco-s2-p.mlstatic.com/yamaha-fz16-fazer-modelo-2015-414221-MCO20740163110_052016-O.jpg;Yamaha Fz16 Fazer Modelo 2015;http://articulo.tumoto.com.co/MCO-423512203-yamaha-fz16-fazer-modelo-2015-_JM; 5190000;2015;Yamaha;126 cc - 250 cc;De Calle
BWS 125;17857;http://mco-s1-p.mlstatic.com/yamaha-bws-125-268221-MCO20736980990_052016-O.jpg;Yamaha Bws 125;http://articulo.tumoto.com.co/MCO-423419414-yamaha-bws-125-_JM; 5500000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XTZ125;8200;http://mco-s2-p.mlstatic.com/yamaha-xtz-125-modelo-2016-792321-MCO20735629500_052016-O.jpg;Yamaha Xtz 125 Modelo 2016;http://articulo.tumoto.com.co/MCO-423383212-yamaha-xtz-125-modelo-2016-_JM; 6200000;2016;Yamaha;051 cc - 125 cc;Enduro, Cross y Trial
RAPTOR 700;16679;http://mco-s2-p.mlstatic.com/yamaha-raptor-700-modelo2009-636221-MCO20735609199_052016-O.jpg;Yamaha Raptor 700 Modelo2009;http://articulo.tumoto.com.co/MCO-423382384-yamaha-raptor-700-modelo2009-_JM; 16500000;2009;Yamaha;501 cc o más;Cuatriciclos y Triciclos
2014;46819;http://mco-s2-p.mlstatic.com/hermosa-xtz-125modelo-2014-4790000-657221-MCO20740718896_052016-O.jpg;Hermosa Xtz 125modelo 2014 $4790000;http://articulo.tumoto.com.co/MCO-423538721-hermosa-xtz-125modelo-2014-4790000-_JM; 4790000;2014;Yamaha;051 cc - 125 cc;De Calle
2014;7252;http://mco-s2-p.mlstatic.com/yamaha-fz-16-modelo-2014-d-envigado-soat-y-tecn-nuevo-ganga-452321-MCO20739616013_052016-O.jpg;Yamaha Fz 16 Modelo 2014 D Envigado Soat Y Tecn Nuevo Ganga;http://articulo.tumoto.com.co/MCO-423492094-yamaha-fz-16-modelo-2014-d-envigado-soat-y-tecn-nuevo-ganga-_JM; 5150000;2014;Yamaha;126 cc - 250 cc;De Calle
2015;12121;http://mco-s1-p.mlstatic.com/yamaha-fz-16-modelo-2015-unico-dueno-soat-nuevo-aproveche-798221-MCO20739600879_052016-O.jpg;Yamaha Fz 16 Modelo 2015 Unico Dueño Soat Nuevo Aproveche;http://articulo.tumoto.com.co/MCO-423491627-yamaha-fz-16-modelo-2015-unico-dueno-soat-nuevo-aproveche-_JM; 5540000;2015;Yamaha;126 cc - 250 cc;De Calle
2014;12325;http://mco-s1-p.mlstatic.com/yamaha-fz-16-modelo-2014-de-envigado-soat-hasta-febrero-2017-529221-MCO20739579531_052016-O.jpg;Yamaha Fz 16 Modelo 2014 De Envigado Soat Hasta Febrero 2017;http://articulo.tumoto.com.co/MCO-423490549-yamaha-fz-16-modelo-2014-de-envigado-soat-hasta-febrero-2017-_JM; 5100000;2014;Yamaha;126 cc - 250 cc;De Calle
2016;8951;http://mco-s2-p.mlstatic.com/yamaha-bws-modelo-2016-unica-duena-ganga-aproveche-soat-nue-972321-MCO20739565217_052016-O.jpg;Yamaha Bws Modelo 2016 Unica Dueña Ganga Aproveche Soat Nue;http://articulo.tumoto.com.co/MCO-423489456-yamaha-bws-modelo-2016-unica-duena-ganga-aproveche-soat-nue-_JM; 6200000;2016;Yamaha;051 cc - 125 cc;De Calle
2016;8125;http://mco-s1-p.mlstatic.com/yamaha-bws-modelo-2016-en-garantia-como-nueva-ganga-277221-MCO20739541543_052016-O.jpg;Yamaha Bws Modelo 2016 En Garantia Como Nueva Ganga;http://articulo.tumoto.com.co/MCO-423488888-yamaha-bws-modelo-2016-en-garantia-como-nueva-ganga-_JM; 6180000;2016;Yamaha;051 cc - 125 cc;De Calle
2015;7925;http://mco-s2-p.mlstatic.com/yamaha-bws-x-modelo-2015-unica-duena-todo-le-funciona-ganga-502321-MCO20739519747_052016-O.jpg;Yamaha Bws X Modelo 2015 Unica Dueña Todo Le Funciona Ganga;http://articulo.tumoto.com.co/MCO-423488382-yamaha-bws-x-modelo-2015-unica-duena-todo-le-funciona-ganga-_JM; 6350000;2015;Yamaha;051 cc - 125 cc;De Calle
2014;25000;http://mco-s2-p.mlstatic.com/yamaha-ybr-125-ss-modelo-2014-379221-MCO20739010319_052016-O.jpg;Yamaha Ybr 125 Ss Modelo 2014;http://articulo.tumoto.com.co/MCO-423475887-yamaha-ybr-125-ss-modelo-2014-_JM; 3100000;2014;Yamaha;051 cc - 125 cc;De Calle
Fino;0;http://mco-s2-p.mlstatic.com/yamaha-fino-051-cc-125-cc-195701-MCO20388480108_082015-O.jpg;Yamaha Fino 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423421399-yamaha-fino-051-cc-125-cc-_JM; 5450000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT 250;0;http://mco-s1-p.mlstatic.com/yamaha-xt-250-279021-MCO20679685799_042016-O.jpg;Yamaha Xt 250;http://articulo.tumoto.com.co/MCO-423421389-yamaha-xt-250-_JM; 14990000;2017;Yamaha;126 cc - 250 cc;De Calle
FZ;0;http://mco-s1-p.mlstatic.com/yamaha-fz-15-2017-192021-MCO20679682002_042016-O.jpg;Yamaha Fz 15 2017 ;http://articulo.tumoto.com.co/MCO-423421375-yamaha-fz-15-2017-_JM; 6990000;2017;Yamaha;126 cc - 250 cc;De Calle
FZ1;28624;http://mco-s2-p.mlstatic.com/yamaha-fz1-271321-MCO20735413635_052016-O.jpg;Yamaha Fz1;http://articulo.tumoto.com.co/MCO-423373360-yamaha-fz1-_JM; 21500000;2009;Yamaha;501 cc o más;Deportivas / Naked
XT 660 R;20000;http://mco-s2-p.mlstatic.com/yamaha-xt-660-r-501-cc-o-mas-582321-MCO20737639337_052016-O.jpg;Yamaha Xt 660 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423428942-yamaha-xt-660-r-501-cc-o-mas-_JM; 21000000;2015;Yamaha;501 cc o más;Enduro, Cross y Trial
BWS X;0;http://mco-s2-p.mlstatic.com/yamaha-bwsx-2017-776701-MCO20388464408_082015-O.jpg;Yamaha Bwsx 2017;http://articulo.tumoto.com.co/MCO-423421392-yamaha-bwsx-2017-_JM; 7600000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
2016;14577;http://mco-s2-p.mlstatic.com/yamaha-xtz-250-modelo-2016-13500000-171321-MLA20740121031_052016-O.jpg;Yamaha Xtz 250 Modelo 2016 $13500.000;http://articulo.tumoto.com.co/MCO-423485821-yamaha-xtz-250-modelo-2016-13500000-_JM; 13500000;2016;Yamaha;126 cc - 250 cc;De Calle
BWS 125;13691;http://mco-s2-p.mlstatic.com/yamaha-bws-125-051-cc-125-cc-328221-MCO20735375571_052016-O.jpg;Yamaha Bws 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423372265-yamaha-bws-125-051-cc-125-cc-_JM; 5500000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BWS ;45776;http://mco-s2-p.mlstatic.com/yamaha-bws-modelo-2010-211321-MCO20735623160_052016-O.jpg;Yamaha Bws Modelo 2010;http://articulo.tumoto.com.co/MCO-423382755-yamaha-bws-modelo-2010-_JM; 4500000;2010;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
2016;7000;http://mco-s2-p.mlstatic.com/fz-16-version-20-975221-MCO20734211890_052016-O.jpg;Fz 16 Versión 2.0;http://articulo.tumoto.com.co/MCO-423340391-fz-16-version-20-_JM; 6500000;2016;Yamaha;126 cc - 250 cc;De Calle
TENERE;4600;http://mco-s2-p.mlstatic.com/yamaha-tenere-126-cc-250-cc-172221-MCO20734284730_052016-O.jpg;Yamaha Tenere 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423345112-yamaha-tenere-126-cc-250-cc-_JM; 13100000;2015;Yamaha;126 cc - 250 cc;Touring
XTZ 250;7917;http://mco-s1-p.mlstatic.com/yamaha-xtz-250-modelo-2015-264221-MCO20735362593_052016-O.jpg;Yamaha Xtz 250 Modelo 2015;http://articulo.tumoto.com.co/MCO-423371046-yamaha-xtz-250-modelo-2015-_JM; 12680000;2015;Yamaha;126 cc - 250 cc;Enduro, Cross y Trial
GRIZZLY 700;235;http://mco-s2-p.mlstatic.com/yamaha-grizzly-700-608021-MCO20696013973_052016-O.jpg;Yamaha Grizzly 700;http://articulo.tumoto.com.co/MCO-423378961-yamaha-grizzly-700-_JM; 24800000;2016;Yamaha;501 cc o más;Cuatriciclos y Triciclos
BWS;0;http://mco-s1-p.mlstatic.com/yamaha-bws-125cc-381701-MCO20388469822_082015-O.jpg;Yamaha Bws 125cc;http://articulo.tumoto.com.co/MCO-423421338-yamaha-bws-125cc-_JM; 7150000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
Fazer16;33000;http://mco-s1-p.mlstatic.com/yamaha-fazer16-948221-MCO20733054613_052016-O.jpg;Yamaha Fazer16;http://articulo.tumoto.com.co/MCO-423314523-yamaha-fazer16-_JM; 4300000;2013;Yamaha;126 cc - 250 cc;Deportivas / Naked
Libero 125;0;http://mco-s1-p.mlstatic.com/yamaha-libero-125-2017-608601-MCO20388472393_082015-O.jpg;Yamaha Libero 125 2017;http://articulo.tumoto.com.co/MCO-423421384-yamaha-libero-125-2017-_JM; 4540000;2016;Yamaha;051 cc - 125 cc;De Calle
SZ-R;0;http://mco-s2-p.mlstatic.com/yamaha-sz-rr-150cc-624701-MCO20388468332_082015-O.jpg;Yamaha Sz-rr 150cc;http://articulo.tumoto.com.co/MCO-423421351-yamaha-sz-rr-150cc-_JM; 5960000;2016;Yamaha;126 cc - 250 cc;De Calle
XT 660;15300;http://mco-s1-p.mlstatic.com/yamaha-xt-660-699911-MCO20672918632_042016-O.jpg;Yamaha Xt 660;http://articulo.tumoto.com.co/MCO-423379248-yamaha-xt-660-_JM; 21500000;2015;Yamaha;501 cc o más;De Calle
Cripton;0;http://mco-s1-p.mlstatic.com/yamaha-cripton-115cc-930701-MCO20388467523_082015-O.jpg;Yamaha Cripton 115cc ;http://articulo.tumoto.com.co/MCO-423421327-yamaha-cripton-115cc-_JM; 5150000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BOLT XVS950;7800;http://mco-s1-p.mlstatic.com/yamaha-bolt-xvs950-501-cc-o-mas-529711-MCO20642566978_032016-O.jpg;Yamaha Bolt Xvs950 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423315467-yamaha-bolt-xvs950-501-cc-o-mas-_JM; 27500000;2014;Yamaha;501 cc o más;Custom / Chopper
yamaha grizzly 700;46;http://mco-s2-p.mlstatic.com/yamaha-grizzly-700-4x4-808811-MLA20640302546_032016-O.jpg;Yamaha Grizzly 700 4x4;http://articulo.tumoto.com.co/MCO-423543635-yamaha-grizzly-700-4x4-_JM; 18000000;2010;Yamaha;501 cc o más;Cuatriciclos y Triciclos
XT660;0;http://mco-s1-p.mlstatic.com/yamaha-xt660-2016-764701-MCO20388474416_082015-O.jpg;Yamaha Xt660 2016;http://articulo.tumoto.com.co/MCO-423421370-yamaha-xt660-2016-_JM; 26000000;2017;Yamaha;501 cc o más;Enduro, Cross y Trial
Super Tenere;24200;http://mco-s1-p.mlstatic.com/yamaha-super-tenere-501-cc-o-mas-335511-MCO20561784856_012016-O.jpg;Yamaha Super Tenere 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423401688-yamaha-super-tenere-501-cc-o-mas-_JM; 11000000;1991;Yamaha;501 cc o m?s;Enduro, Cross y Trial
XTZ125;0;http://mco-s1-p.mlstatic.com/yamaha-xtz125-2017-437701-MCO20388480779_082015-O.jpg;Yamaha Xtz125 2017;http://articulo.tumoto.com.co/MCO-423421328-yamaha-xtz125-2017-_JM; 6750000;2016;Yamaha;051 cc - 125 cc;Enduro, Cross y Trial
BWS 2 BWS BWS;16000;http://mco-s2-p.mlstatic.com/yamaha-051-cc-125-cc-2013-15224-MCO20099490835_052014-O.jpg;Yamaha 051 Cc - 125 Cc 2013;http://articulo.tumoto.com.co/MCO-423547342-yamaha-051-cc-125-cc-2013-_JM; 5000000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
YZF R6R;39000;http://mco-s1-p.mlstatic.com/yamaha-yzf-r6r-2010-290121-MLA20698477942_052016-O.jpg;Yamaha Yzf R6r 2010;http://articulo.tumoto.com.co/MCO-421503897-yamaha-yzf-r6r-2010-_JM; 25000000;2010;Yamaha;501 cc o más;Deportivas / Naked
2016;1;http://mco-s1-p.mlstatic.com/yamaha-fz-16-fazer-2016-123021-MLA20689717832_042016-O.jpg;Yamaha Fz 16 Fazer 2016 ;http://articulo.tumoto.com.co/MCO-422542167-yamaha-fz-16-fazer-2016-_JM; 6280000;2016;Yamaha;126 cc - 250 cc;De Calle
Yamaha MT09 ABS;7800;http://mco-s1-p.mlstatic.com/yamaha-mt09-abs-2015-purpura-102121-MLA20724105157_052016-O.jpg;Yamaha Mt09 Abs 2015 Purpura;http://articulo.tumoto.com.co/MCO-423083208-yamaha-mt09-abs-2015-purpura-_JM; 30000000;2015;Yamaha;501 cc o más;Deportivas / Naked
WR450;1000;http://mco-s2-p.mlstatic.com/yamaha-wr450-752121-MCO20705493915_052016-O.jpg;Yamaha Wr450;http://articulo.tumoto.com.co/MCO-422845898-yamaha-wr450-_JM; 12499000;2008;Yamaha;251 cc - 500 cc;Enduro, Cross y Trial
Fazer 16;14000;http://mco-s2-p.mlstatic.com/yamaha-fazer-16-729021-MCO20680160963_042016-O.jpg;Yamaha Fazer 16;http://articulo.tumoto.com.co/MCO-422183319-yamaha-fazer-16-_JM; 5800000;2014;Yamaha;126 cc - 250 cc;De Calle
BWS 125;12700;http://mco-s2-p.mlstatic.com/yamaha-bws-125-051-cc-125-cc-542021-MCO20678690974_042016-O.jpg;Yamaha Bws 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422139951-yamaha-bws-125-051-cc-125-cc-_JM; 5200000;2013;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT660R;22000;http://mco-s1-p.mlstatic.com/yamaha-xt660-270221-MCO20717663701_052016-O.jpg;Yamaha Xt660;http://articulo.tumoto.com.co/MCO-422986322-yamaha-xt660-_JM; 19900000;2014;Yamaha;501 cc o más;Enduro, Cross y Trial
2014;43662;http://mco-s2-p.mlstatic.com/hermosa-fz-16-modelo-2014-4990000-161121-MLA20710461124_052016-O.jpg;Hermosa Fz 16 Modelo 2014 $4990000;http://articulo.tumoto.com.co/MCO-422895751-hermosa-fz-16-modelo-2014-4990000-_JM; 4990000;2014;Yamaha;126 cc - 250 cc;De Calle
XT660R;66600;http://mco-s1-p.mlstatic.com/yamaha-xt660-973021-MCO20696574388_052016-O.jpg;Yamaha Xt660;http://articulo.tumoto.com.co/MCO-422720719-yamaha-xt660-_JM; 14900000;2009;Yamaha;501 cc o más;Touring
R6R;2230;http://mco-s1-p.mlstatic.com/yamaha-r6r-362121-MCO20723237300_052016-O.jpg;Yamaha R6r;http://articulo.tumoto.com.co/MCO-423107468-yamaha-r6r-_JM; 47500000;2015;Yamaha;501 cc o más;Deportivas / Naked
